Prénom;Nom;Date de décès;Âge;Année de naissance;Catégorie;Fichier image
Nicholas;Brendon;20/03/2026;54;1972;Acteurs;nicholas-brendon.webp
Chuck;Norris;19/03/2026;86;1940;Acteurs;chuck-norris.webp
Matt;Clark;15/03/2026;89;1937;;matt-clark.webp
Bruno;Salomone;15/03/2026;55;1971;Acteurs;bruno-salomone.webp
Jürgen;Habermas;14/03/2026;96;1930;Philosophes;jurgen-habermas.webp
Eric;Dane;19/02/2026;53;1973;Acteurs;eric-dane.jpg
Jesse;Jackson;17/02/2026;84;1942;Religieux;jesse-jackson.jpg
Robert;Duvall;15/02/2026;95;1931;Acteurs;robert-duvall.jpg
James;Van Der Beek;11/02/2026;48;1978;Acteurs;james-van-der-beek.webp
Brad;Arnold;07/02/2026;47;1979;Chanteurs;brad-arnold.jpg
Catherine;O'Hara;30/01/2026;71;1955;Acteurs;catherine-ohara.jpg
Michel;Barbey;24/01/2026;98;1928;Acteurs;michel-barbey.jpg
Dino;Attanasio;17/01/2026;100;1926;Dessinateurs;dino-attanasio.jpg
Catherine;Samie;12/01/2026;92;1934;Acteurs;catherine-samie.jpg
Béla;Tarr;06/01/2026;70;1956;Réalisateurs;bela-tarr.jpg
